"vf","ematerial","fmaterial","c44","e15","q15","μ11","ϵ11","α11","ρ"
0.9000000000000002,4,2,2.1590868495323462e12,1245.5662200558,1076.3587825147583,0.00015171982730826695,0.562108034880404,-2.622377719365352e-7,7943.
0.9500000000000003,4,2,-5.592690494570759e11,-324.8364323907855,-114.58048075442422,-0.00003576054589977715,-0.05097611551379934,3.3683585676075244e-8,7871.499999999999
0.05,4,3,4.151000712341231e10,0.00037624502159527834,4.184492179266036e-6,0.0010816820722511175,1.5641806074576899e-10,8.58477789287551e-10,5330.
0.1,4,3,4.01191712701607e10,0.0006627353485272253,5.351132058876393e-6,0.000981124864148315,1.734569800428088e-10,7.786704512393663e-10,5460.
0.15000000000000002,4,3,3.878624593043255e10,0.0009574270682986582,6.3038391307714615e-6,0.000892889288679484,1.9128595152184247e-10,7.086421872561488e-10,5590.
0.2,4,3,3.74998457494299e10,0.0012730897705318022,7.142111603344774e-6,0.0008117260727589673,2.1082097167757138e-10,6.442269059924882e-10,5720.
0.25,4,3,3.6254422941812035e10,0.0016185301801500298,7.897580191996957e-6,0.0007359063930172828,2.3270089857213433e-10,5.840525245169863e-10,5850.
0.3,4,3,3.504664744411406e10,0.0020026883318534075,8.583832051628555e-6,0.0006646579755375646,2.575813806246773e-10,5.275061262212589e-10,5980.
0.35,4,3,3.3874224951426323e10,0.002436181638977985,9.208168696738349e-6,0.0005975498465382326,2.862462190657104e-10,4.742456675196651e-10,6110.
0.39999999999999997,4,3,3.2735401868493515e10,0.002932585673223142,9.775462212447528e-6,0.000534287178186974,3.197012427064617e-10,4.240371569412383e-10,6240.
0.44999999999999996,4,3,3.1628728110668266e10,0.0035100560491480902,0.000010289616197604334,0.0004746319646391627,3.5929438942805953e-10,3.766916994649445e-10,6370.
0.49999999999999994,4,3,3.055293378201119e10,0.0041937689426606636,0.000010754144808070173,0.0004183705774901299,4.0689712048245806e-10,3.320397466775695e-10,6500.
0.5499999999999999,4,3,2.9506861690325096e10,0.005019910477403718,0.000011172390633017177,0.0003653007408248266,4.6520138365464737e-10,2.899207591869998e-10,6630.
0.6,4,3,2.8489429239713608e10,0.006042612792586053,0.000011547586528656657,0.00031522693851362396,5.382361674499432e-10,2.501795610564156e-10,6760.
0.65,4,3,2.749960651300531e10,0.0073468039048722525,0.000011882847378025508,0.00026795945734759953,6.323246275970394e-10,2.126655793465009e-10,6890.
0.7000000000000001,4,3,2.6536403477984673e10,0.009073877447674948,0.000012181124473458803,0.00022331487134527383,7.579962025059438e-10,1.772332264057687e-10,7020.
0.7500000000000001,4,3,2.559886219560091e10,0.01147811781933444,0.000012445121185103494,0.00018111695260809683,9.34189733950679e-10,1.4374261819934583e-10,7150.
0.8000000000000002,4,3,2.4686051069988052e10,0.01506763066546745,0.000012677119243977638,0.00014119755541504026,1.1987514495728457e-9,1.1206026455088438e-10,7280.
0.8500000000000002,4,3,2.3797057173598015e10,0.021026581556343533,0.000012878504374715109,0.00010339729305891332,1.639887763838221e-9,8.205957209738794e-11,7410.000000000001
0.9000000000000002,4,3,2.293096267102329e10,0.03290047545106421,0.000013047923757204077,0.00006756595867645276,2.5217027325679153e-9,5.36210417114821e-11,7540.000000000001
0.9500000000000003,4,3,2.2086686853051125e10,0.06833472482830193,0.00001316851201606781,0.00003356270214768323,5.158610888824651e-9,2.663145763993941e-11,7670.
0.05,4,4,3.1631269734115334e10,0.000264210632203867,1.6338058435636594e-6,0.003861424329772177,1.1761081557431781e-10,8.580942858466847e-10,5520.
0.1,4,4,3.098432249336599e10,0.00046309929412954143,1.886413739063493e-6,0.0035021441743586373,1.3042321017579956e-10,7.78254244989768e-10,5640.
0.15000000000000002,4,4,3.0352644920384247e10,0.0006693301626275679,2.096804601932005e-6,0.003186862473949563,1.4382980690794155e-10,7.081916386929164e-10,5760.
0.2,4,4,2.9734302021743874e10,0.0008922307310557278,2.283760682673128e-6,0.002896839684787847,1.5851942496708815e-10,6.437421235632974e-10,5880.
0.25,4,4,2.9128293202090233e10,0.0011382923675453708,2.453399816924552e-6,0.0026259069099129877,1.7497251229966915e-10,5.835348334219008e-10,6000.
0.3,4,4,2.8533983424084793e10,0.0014141611218905488,2.608419405846212e-6,0.0023713096360916033,1.9368217111016825e-10,5.269576540481558e-10,6120.
